Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Perform P52 IMU Realign (REFSMMAT)	266400	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)		
Perform SCS Thrusting and Slosh Damping Test	271500	MISSION_TIME							-1	1	SCS Thrusting + Slosh Damp Test		
G&N Power Down	275400	MISSION_TIME							-1	1	G&N Power Down		
Copy Block Data 9	277500	MISSION_TIME							-1	1			
Initiate Battery Charge (BATT B)	280800	MISSION_TIME							-1	1	Battery Charge B		
ECS Redundant Component Check	288600	MISSION_TIME							-1	1	ECS Redundant Component Check		
Terminate Battery Charge	291600	MISSION_TIME							-1	1	Terminate Battery Charge		
Fuel Cell O2 Purge	295200	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Waste Water Dump	298800	MISSION_TIME		Fifth Period of Activities					-1	1	Waste Water Dump		
Copy Block Data 10	309120	MISSION_TIME							-1	1			
Record Systems Data (Column 5)	316800	MISSION_TIME							-1	0			
G&N Power Up	322200	MISSION_TIME							-1	1	G&N Power Up		
Perform P51 IMU Orientation									-1	1	P51 IMU Orientation		
Perform P52 IMU Realign (REFSMMAT)									-1	1	P52 IMU Realign (REFSMMAT)		
State Vector Update	324000	MISSION_TIME							-1	1	P27 Auto Update		
Update REFSMMAT For Radiator Test	327600	MISSION_TIME							-1	1	REFSMMAT For Radiator Test		
Perform P52 IMU Realign (Preferred)									-1	1	P52 IMU Realign (Preferred)		
"Maneuver to Radiator Test (052, 0, 0)"	331200	MISSION_TIME							-1	1	V49 Crew Defined Maneuver		
Begin Radiator Degradation Test	333300	MISSION_TIME							-1	1	Begin Radiator Degradation Test		
State Vector Update	338400	MISSION_TIME							-1	1	P27 Auto Update		
Fuel Cell O2 Purge									-1	1	Fuel Cell O2 Purging		
H2 Stratification Test									-1	1	H2 Stratification Test		
Copy Block Data 11	346860	MISSION_TIME							-1	1			
End Radiator Degradation Test	349200	MISSION_TIME							-1	1	End Radiator Degradation Test		
State Vector Update	351600	MISSION_TIME							-1	1	P27 Auto Update		
Perform P52 IMU Realign (Nominal) GET Align: 098:15:00									-1	1	P52 IMU Realign (Nominal)		
G&N Power Down	358200	MISSION_TIME							-1	1	G&N Power Down		
ECS Redundant Component Check	374400	MISSION_TIME		Sixth Period of Activities					-1	1	ECS Redundant Component Check		
Copy Block Data 12	378600	MISSION_TIME							-1	1			
Fuel Cell O2 Purge	383400	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
Record Systems Data (Column 6)	414000	MISSION_TIME							-1	0			
Copy Block Data 13	417780	MISSION_TIME		Seventh Period of Activities					-1	1			
G&N Power Up	421200	MISSION_TIME							-1	1	G&N Power Up		
Perform P51 IMU Orientation									-1	1	P51 IMU Orientation		
Copy Maneuver PAD	423000	MISSION_TIME							-1	1			
State Vector Update									-1	1	P27 Auto Update		
Perform DAP Data Load	424800	MISSION_TIME							-1	1	DAP Data Load		
Fuel Cell O2 Purge									-1	1	Fuel Cell O2 Purging		
Perform P30 - External DV									-1	1	P30 External DV		
Update REFSMMAT For Burn	426600	MISSION_TIME							-1	1	Update REFSMMAT For Burn		
Perform P52 IMU Realign (Preferred)									-1	1	P52 IMU Realign (Preferred)		
Perform GDC Alignment to IMU									-1	1	GDC Alignment to IMU		
Perform SCS Attitude Reference Comparison	430200	MISSION_TIME							-1	1	SCS Attitude Ref Comp Check		
Perform SCS Attitude Reference Comparison	432000	MISSION_TIME							-1	1	SCS Attitude Ref Comp Check		
Perform P52 IMU Realign (REFSMMAT)									-1	1	P52 IMU Realign (REFSMMAT)		
